doc_id,title,description,consulta_1,consulta_2
26,Smart TV LED 55” LG 55UP7750  4K UHD 55UP7750 Wi-Fi Bluetooth HDR Inteligência Artificial ThinQ Smart Magic Google Alexa,,0,0
27,"Smart Tv LG 55"" 55UN7310 4K UHD Wifi Bluetooth HDR 3 HDMI 2 USB Inteligência Artificial Thinq Ai Google Assistente",,0,0
28,"Smart TV Philco 39"" Led HD PTV39G65N5CH - 2 Hdmi 1 Usb Wi-Fi Midia Cast","Televisor com acesso aos principais App como  Netflix, Prime Vídeo,  Globoplay e Youtube. Tela de 39 polegadas em resolução HD. A TV também possui um grande desempenho de velocidade devido ao seu processador Quad Core e qualidades gráficas acentuadas pelo processador gráfico Triple Core, além de Midiacast que garante comunicação sem fio entre dispositivos móveis.",0,0
29,"Smart TV Semp 32"" Roku LED HD R5500 Wi-Fi Dual Band 3 HDMI 1 USB com Controle por Aplicativo","Sua Smart TV conta agora com a ROKU: uma plataforma de streaming com conteúdo ilimitado e muito fácil de usar!  Tenha acesso a todos os conteúdos: Youtube, Netflix, Globo Play, Disney +, Prime Video e Apple TV. Sua SEMP Roku também permite transmitir (espelhar) o conteúdo de smartphone Apple, compatível com a função Apple Airplay. A TV é compatível com a Apple Homekit e, portanto, pode ser controlada por um dispositivo inteligente compatível.  O controle em suas mãos: Com o aplicativo ROKU Mobile, disponível tanto para Android quanto iOS, você pode utilizar seu smartphone* para realizar várias ações como: trocar de canal, aumentar volume, enviar foto e ouvir o som através do próprio smartphone. Requer um smartphone compatível.  Tudo o que você quiser com a Busca em canais de streaming: Procure facilmente o que deseja como: filme, ator, diretor, etc. Fique sempre em dia: as atualizações da plataforma ROKU são feitas automaticamente. Imagens meramente ilustrativas.Todas as informações divulgadas são de responsabilidade do Fabricante/Fornecedor.Verifique com os fabricantes do produto e de seus componentes eventuais limitações à utilização de todos os recursos e funcionalidades.",0,0
30,"Smart TV 55"" LG 55UN731C 4K UHD 3 HDMI 2 USB Wi-Fi Assitente Virtual Bluetooth","Smart TV LG 55'' 4K, UHD, Wi-Fi, Bluetooth, HDR, Inteligência Artificial ThinQ AI, Google Assistente, Alexa",0,0
31,"Samsung Smart Tv 65"" Crystal Uhd 4k 65au8000, Painel Dynamic Crystal Color, Design Slim, Tela Sem Limites",,1,0
32,"Smart Tv Philips 43"" Full Hd Sem Bordas Hdr Plus Wifi Conversor Digital Netflix Youtube Globoplay e Prime Video",,1,0
33,"Smart Tv Philco 50"" Resolução 4k Áudio Dolby - Tv Ptv50g70sblsg 4k Led","Televisor com tela de 50 polegadas em resolução 4K (Ultra HD). Tecnologia Smart permitindo acesso ao Netflix, Youtube, Globo Play, entre outros. Processador Quad Core, proporcionando maior velocidade para conteúdo dos aplicativos e performance ideal para seu Televisor, além de processador gráfico Triple Core gerando maior velocidade no processamento de gráficos mais complexos. Possui também tecnologia de áudio Dolby.",0,0
34,Smart TV LG 55 polegadas 4K UHD 55UP751C webOS ThinQ AI Comando por Voz,"Smart TV LG 55 polegadas 4K UHD 55UP751C webOS ThinQ AI Comando por VozQuem não gosta de uma Smart TV para ver Netflix, não é verdade? A Smart TV 55UP751C da LG é ideal para você!!Se você busca a mais alta tecnologia de brilho e contraste, o HDR Ativo é perfeito para os detalhes que antes estavam escondidos na escuridão ou no excesso de luminosidade da cena. Sua resolução proporciona imagens perfeitas mesmo em ambientes pequenos onde você tem pouca distância entre seu ângulo de visão e a TV.O controle Smart Magic vai ser seu aliado para aqueles dias de descanso e conforto :)Ela é perfeita para você!!Informações Técnicas:- Marca: LG- Modelo: 55UP751C- Tela: 55 polegadas 4K UHD- Processador: a5 Gen4 Processor 4K- Sistema Operacional: webOS 6.0Entradas/Saídas:- 01 Entrada RF- 01 Entradas USB- 02 Entradas HDMI 2.0Complementares:- LG ThinQ AI- Ultra Surround- Filmmaker mode- Redução de ruídos- Alerta de esportes- Cabo de alimentação AC- Parafusos da base e Base- Adaptador de áudio e vídeo- Controle remoto Smart Magic- Guia de Início Rápido em Português- HGiG (Reconhece o desempenho da TV e a qualidade da imagem para ajustar os gráficos HDR)*Garantia do Fornecedor: 12 Meses*ATENÇÃO CLIENTE!!Super diquinhas para você cliente feliz!!1. Foto do anúncio meramente ilustrativa.2. CONFIRA A VOLTAGEM DESEJADA ANTES DE COMPRAR PRODUTOS ELETRONICOS - 127V ou 220V3. Objetos de decoração não acompanham o produto e não estão inclusos no pedido.4. Para instalação, funcionalidades, manutenção e cuidados específicos consulte o manual do produto ou contrate um profissional.5. Devido às normas da ABNT e às resoluções nº 13 de 2006, nº 2 de 2007 e nº 8 de 2009 do CONMETRO os fabricantes estão mudando as tomadas para o novo padrão. Para utilizar este produto, será preciso adaptador ou a troca da tomada antiga. Não nos responsabilizamos por esta alteração.6. ENTREGA por conta da Móveis Linhares somente para compras realizadas no site da Moveis Linhares com destino as cidades aonde temos lojas físicas. Mais informações consulte nossa política de entrega.7. CONFIRA o estado do produto no ato da entrega junto com o entregador, prevenindo-se de problemas futuros. #ficaadica.8. A entrega não considera subida de lances de escada ou içamento de produtos que não cabem em elevadores. CONFIRA as dimensões antes de comprar.",0,0
35,Smart TV Led 43'' LG 43LM6300 FHD Thinq AI Conversor Digital Integrado 3 HDMI 2 USB Wi-Fi,,0,0
